             VARIABLE : Monthly Mean Air Temperature at sigma level 0.995 (degC)
             DATA SET : monthly mean air.sig995 from the NCEP Reanalysis
             FILENAME : air.sig995.mon.mean.nc
             FILEPATH : https://www.esrl.noaa.gov/psd/thredds/dodsC/Datasets/ncep.reanalysis.derived/surface/
             BAD FLAG : -1.E+34       
             SUBSET   : 342 points (TIME)
             LONGITUDE: 87.5E
             LATITUDE : 45N
         	87.5E
01-AUG-2003 00:00	20.18451
01-SEP-2003 00:00	15.76901
01-OCT-2003 00:00	5.897097
01-NOV-2003 00:00	-3.91733
01-DEC-2003 00:00	-8.741286
01-JAN-2004 00:00	-10.04645
01-FEB-2004 00:00	-4.848618
01-MAR-2004 00:00	-0.5480572
01-APR-2004 00:00	9.020334
01-MAY-2004 00:00	14.40066
01-JUN-2004 00:00	19.20534
01-JUL-2004 00:00	23.51613
01-AUG-2004 00:00	20.58129
01-SEP-2004 00:00	14.51534
01-OCT-2004 00:00	6.493234
01-NOV-2004 00:00	-1.285331
01-DEC-2004 00:00	-6.943224
01-JAN-2005 00:00	-10.87548
01-FEB-2005 00:00	-9.378922
01-MAR-2005 00:00	0.6022635
01-APR-2005 00:00	8.435337
01-MAY-2005 00:00	14.59807
01-JUN-2005 00:00	18.71167
01-JUL-2005 00:00	22.49516
01-AUG-2005 00:00	19.84323
01-SEP-2005 00:00	17.14801
01-OCT-2005 00:00	7.017746
01-NOV-2005 00:00	-0.668331
01-DEC-2005 00:00	-9.96806
01-JAN-2006 00:00	-11.42516
01-FEB-2006 00:00	-5.152143
01-MAR-2006 00:00	-0.2900003
01-APR-2006 00:00	7.766668
01-MAY-2006 00:00	12.52807
01-JUN-2006 00:00	19.89367
01-JUL-2006 00:00	21.32452
01-AUG-2006 00:00	21.73097
01-SEP-2006 00:00	15.18435
01-OCT-2006 00:00	9.481619
01-NOV-2006 00:00	0.6866698
01-DEC-2006 00:00	-7.653541
01-JAN-2007 00:00	-10.35097
01-FEB-2007 00:00	-3.23786
01-MAR-2007 00:00	-0.5893556
01-APR-2007 00:00	9.45634
01-MAY-2007 00:00	13.25904
01-JUN-2007 00:00	20.11066
01-JUL-2007 00:00	22.39387
01-AUG-2007 00:00	20.9771
01-SEP-2007 00:00	16.79467
01-OCT-2007 00:00	5.633553
01-NOV-2007 00:00	-1.519662
01-DEC-2007 00:00	-9.953222
01-JAN-2008 00:00	-14.22387
01-FEB-2008 00:00	-8.113788
01-MAR-2008 00:00	3.28936
01-APR-2008 00:00	7.286339
01-MAY-2008 00:00	16.55226
01-JUN-2008 00:00	21.69001
01-JUL-2008 00:00	23.52161
01-AUG-2008 00:00	21.46549
01-SEP-2008 00:00	15.55101
01-OCT-2008 00:00	7.663874
01-NOV-2008 00:00	-1.416998
01-DEC-2008 00:00	-8.893227
